Debug:  F:() L:(0) 	(2022-05-27 15:35:37) 	App begin
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-27 15:35:37) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-27 15:35:37) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-27 15:35:37) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:() L:(0) 	(2022-05-27 15:35:38) 	The password is =  "123456"
Debug:  F:() L:(0) 	(2022-05-27 15:35:38) 	The id is =  "18036196029"
Debug:  F:() L:(0) 	(2022-05-27 15:35:38) 	The id is =  "大学生"
Debug:  F:() L:(0) 	(2022-05-27 15:35:38) 	The id is =  1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(295) 	(2022-05-27 15:35:38) 	userId is : 20182621  -  123456  -  123456 - allWords1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(99) 	(2022-05-27 15:35:38) 	The res =  true
Warning:  F:(qrc:/qmls/Page/EnterPage.qml) L:(59) 	(2022-05-27 15:35:38) 	qrc:/qmls/Page/EnterPage.qml:59:5: QML Rectangle: Cannot anchor a vertical edge to a horizontal edge.
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 15:35:38) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(55) 	(2022-05-27 15:35:38) 	The page is load!!!
Debug:  F:() L:(0) 	(2022-05-27 15:35:38) 	The sno is =  1
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(59) 	(2022-05-27 15:35:38) 	read from db is =  5  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:38) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:38) 	The result of it is =  35  and  24
Debug:  F:() L:(0) 	(2022-05-27 15:35:38) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:38) 	The result of it is =  35  and  24
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(32) 	(2022-05-27 15:35:38) 	qrc:/qmls/Component/MyComboBox.qml:32: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-27 15:35:38) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(109) 	(2022-05-27 15:35:38) 	config sno =  1  and  1
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(49) 	(2022-05-27 15:35:42) 	The current status is =  [object Object]
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	the time is =  "2022-05-21"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	The result of it is =  50  and  33
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	the time is =  "2022-05-22"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	The result of it is =  50  and  42
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	the time is =  "2022-05-23"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	The result of it is =  40  and  28
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	the time is =  "2022-05-24"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	The result of it is =  30  and  24
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	the time is =  "2022-05-25"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	The result of it is =  60  and  42
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	the time is =  "2022-05-26"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	The result of it is =  50  and  23
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	The result of it is =  35  and  24
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(213) 	(2022-05-27 15:35:42) 	The max top value is =  60
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	the time is =  "2022-05-21"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	The result of it is =  50  and  33
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	the time is =  "2022-05-22"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	The result of it is =  50  and  42
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	the time is =  "2022-05-23"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	The result of it is =  40  and  28
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	the time is =  "2022-05-24"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	The result of it is =  30  and  24
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	the time is =  "2022-05-25"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	The result of it is =  60  and  42
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	the time is =  "2022-05-26"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	The result of it is =  50  and  23
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:42) 	The result of it is =  35  and  24
Debug:  F:() L:(0) 	(2022-05-27 15:35:43) 	The a1::: 50   21   7   37
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(240) 	(2022-05-27 15:35:43) 	The result is =  50
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(240) 	(2022-05-27 15:35:43) 	The result is =  21
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(240) 	(2022-05-27 15:35:43) 	The result is =  7
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(240) 	(2022-05-27 15:35:43) 	The result is =  37
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(244) 	(2022-05-27 15:35:43) 	陌生: 43.48%
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(248) 	(2022-05-27 15:35:43) 	一般: 18.26% and  21
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(252) 	(2022-05-27 15:35:43) 	熟悉: 6.09% and  7
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(256) 	(2022-05-27 15:35:43) 	牢记: 32.17%
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(107) 	(2022-05-27 15:35:43) 	The current index is =  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	the time is =  "2022-05-14"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	the time is =  "2022-05-15"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	the time is =  "2022-05-16"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	The result of it is =  20  and  14
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	the time is =  "2022-05-17"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	the time is =  "2022-05-18"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	The result of it is =  40  and  34
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	the time is =  "2022-05-19"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	The result of it is =  40  and  28
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	the time is =  "2022-05-20"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	The result of it is =  60  and  47
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(213) 	(2022-05-27 15:35:45) 	The max top value is =  60
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	the time is =  "2022-05-14"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	the time is =  "2022-05-15"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	the time is =  "2022-05-16"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	The result of it is =  20  and  14
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	the time is =  "2022-05-17"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	the time is =  "2022-05-18"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	The result of it is =  40  and  34
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	the time is =  "2022-05-19"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	The result of it is =  40  and  28
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	the time is =  "2022-05-20"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:45) 	The result of it is =  60  and  47
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	the time is =  "2022-05-21"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	The result of it is =  50  and  33
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	the time is =  "2022-05-22"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	The result of it is =  50  and  42
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	the time is =  "2022-05-23"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	The result of it is =  40  and  28
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	the time is =  "2022-05-24"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	The result of it is =  30  and  24
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	the time is =  "2022-05-25"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	The result of it is =  60  and  42
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	the time is =  "2022-05-26"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	The result of it is =  50  and  23
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	The result of it is =  35  and  24
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(213) 	(2022-05-27 15:35:47) 	The max top value is =  60
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	the time is =  "2022-05-21"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	The result of it is =  50  and  33
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	the time is =  "2022-05-22"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	The result of it is =  50  and  42
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	the time is =  "2022-05-23"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	The result of it is =  40  and  28
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	the time is =  "2022-05-24"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	The result of it is =  30  and  24
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	the time is =  "2022-05-25"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	The result of it is =  60  and  42
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	the time is =  "2022-05-26"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	The result of it is =  50  and  23
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:47) 	The result of it is =  35  and  24
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	the time is =  "2022-05-14"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	the time is =  "2022-05-15"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	the time is =  "2022-05-16"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	The result of it is =  20  and  14
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	the time is =  "2022-05-17"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	the time is =  "2022-05-18"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	The result of it is =  40  and  34
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	the time is =  "2022-05-19"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	The result of it is =  40  and  28
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	the time is =  "2022-05-20"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	The result of it is =  60  and  47
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(213) 	(2022-05-27 15:35:48) 	The max top value is =  60
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	the time is =  "2022-05-14"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	the time is =  "2022-05-15"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	the time is =  "2022-05-16"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	The result of it is =  20  and  14
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	the time is =  "2022-05-17"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	the time is =  "2022-05-18"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	The result of it is =  40  and  34
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	the time is =  "2022-05-19"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	The result of it is =  40  and  28
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	the time is =  "2022-05-20"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:48) 	The result of it is =  60  and  47
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-07"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-08"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-09"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-10"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-11"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-12"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  20  and  9
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-13"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  30  and  18
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(213) 	(2022-05-27 15:35:50) 	The max top value is =  30
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-07"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-08"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-09"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-10"  and  1
