Debug:  F:() L:(0) 	(2022-05-26 19:56:53) 	App begin
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-26 19:56:54) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-26 19:56:54) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-26 19:56:54) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:() L:(0) 	(2022-05-26 19:56:55) 	The password is =  "123456"
Debug:  F:() L:(0) 	(2022-05-26 19:56:55) 	The id is =  "18036196029"
Debug:  F:() L:(0) 	(2022-05-26 19:56:55) 	The id is =  "大学生"
Debug:  F:() L:(0) 	(2022-05-26 19:56:55) 	The id is =  1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(295) 	(2022-05-26 19:56:55) 	userId is : 20182621  -  123456  -  123456 - allWords1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(99) 	(2022-05-26 19:56:55) 	The res =  true
Warning:  F:(qrc:/qmls/Page/EnterPage.qml) L:(59) 	(2022-05-26 19:56:55) 	qrc:/qmls/Page/EnterPage.qml:59:5: QML Rectangle: Cannot anchor a vertical edge to a horizontal edge.
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-26 19:56:55) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(55) 	(2022-05-26 19:56:55) 	The page is load!!!
Debug:  F:() L:(0) 	(2022-05-26 19:56:55) 	The sno is =  1
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(59) 	(2022-05-26 19:56:55) 	read from db is =  10  and  1
Debug:  F:() L:(0) 	(2022-05-26 19:56:55) 	the time is =  "2022-05-26"  and  1
Debug:  F:() L:(0) 	(2022-05-26 19:56:55) 	The result of it is =  30  and  18
Debug:  F:() L:(0) 	(2022-05-26 19:56:55) 	the time is =  "2022-05-26"  and  1
Debug:  F:() L:(0) 	(2022-05-26 19:56:55) 	The result of it is =  30  and  18
