Debug:  F:() L:(0) 	(2022-05-26 19:43:45) 	App begin
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-26 19:43:46) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-26 19:43:46) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-26 19:43:46) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:() L:(0) 	(2022-05-26 19:43:47) 	The password is =  "123456"
Debug:  F:() L:(0) 	(2022-05-26 19:43:47) 	The id is =  "14242354234"
Debug:  F:() L:(0) 	(2022-05-26 19:43:47) 	The id is =  "大学生"
Debug:  F:() L:(0) 	(2022-05-26 19:43:47) 	The id is =  1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(295) 	(2022-05-26 19:43:47) 	userId is : 20182621  -  123456  -  123456 - allWords1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(99) 	(2022-05-26 19:43:47) 	The res =  true
Warning:  F:(qrc:/qmls/Page/EnterPage.qml) L:(59) 	(2022-05-26 19:43:47) 	qrc:/qmls/Page/EnterPage.qml:59:5: QML Rectangle: Cannot anchor a vertical edge to a horizontal edge.
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-26 19:43:47) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(55) 	(2022-05-26 19:43:47) 	The page is load!!!
Debug:  F:() L:(0) 	(2022-05-26 19:43:47) 	The sno is =  1
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(59) 	(2022-05-26 19:43:47) 	read from db is =  20  and  1
Debug:  F:() L:(0) 	(2022-05-26 19:43:47) 	the time is =  "2022-05-26"  and  1
Debug:  F:() L:(0) 	(2022-05-26 19:43:47) 	The result of it is =  20  and  8
Debug:  F:() L:(0) 	(2022-05-26 19:43:47) 	the time is =  "2022-05-26"  and  1
Debug:  F:() L:(0) 	(2022-05-26 19:43:47) 	The result of it is =  20  and  8
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(32) 	(2022-05-26 19:43:47) 	qrc:/qmls/Component/MyComboBox.qml:32: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-26 19:43:47) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(109) 	(2022-05-26 19:43:47) 	config sno =  1  and  1
Debug:  F:(qrc:/qmls/Component/SearchEdit.qml) L:(62) 	(2022-05-26 19:43:55) 	aaaa: 1
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	The word is =  "Nice to meet you"
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:() L:(0) 	(2022-05-26 19:43:55) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:(qrc:/qmls/Component/SearchEdit.qml) L:(65) 	(2022-05-26 19:43:55) 	really??? =  
Debug:  F:(qrc:/qmls/Component/SearchEdit.qml) L:(70) 	(2022-05-26 19:43:55) 	The edit is =  Nice to meet you
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	STAT TO VOICE
Debug:  F:() L:(0) 	(2022-05-26 19:43:55) 	The string is =  "Nice%20to%20meet%20you"
